duration,nr_employed,age,euribor3m,campaign,pdays,cons_conf_idx,day_of_week_wed,education_high.school
249,5191.0,53,4.856,1,999,-36.4,0,0
106,5228.1,35,4.968,1,999,-42.7,0,0
445,5228.1,30,4.966,1,999,-36.1,0,0
149,5228.1,25,4.962,2,999,-41.8,1,0
66,5228.1,35,4.963,1,999,-36.1,0,0
415,5099.1,54,1.56,1,999,-50.0,0,0
173,5228.1,30,4.96,2,999,-42.7,0,0
173,5228.1,38,4.963,1,999,-36.1,0,0
86,5017.5,35,0.74,1,999,-26.9,0,0
131,5191.0,47,4.856,1,999,-36.4,1,0
523,5228.1,32,4.962,3,999,-42.7,0,1
383,5191.0,27,4.856,1,999,-36.4,0,0
160,5195.8,40,4.245,1,999,-42.0,0,0
220,5191.0,31,4.857,3,999,-36.4,0,1
20,5099.1,42,1.405,2,999,-47.1,0,0
160,5099.1,40,1.327,4,999,-46.2,0,0
79,5195.8,31,4.12,1,999,-42.0,1,1
243,5228.1,57,4.958,2,999,-41.8,0,0
882,5008.7,38,0.659,1,6,-34.6,0,1
5,5191.0,39,4.8580000000000005,2,999,-36.4,0,1
354,5191.0,37,4.8580000000000005,5,999,-36.4,1,1
225,5228.1,50,4.962,1,999,-42.7,0,0
460,5099.1,33,1.365,1,999,-47.1,0,0
202,5228.1,41,4.864,1,999,-41.8,0,0
71,5191.0,37,4.857,1,999,-36.4,0,0
54,5099.1,25,1.415,1,999,-47.1,1,1
451,5228.1,35,4.963,1,999,-42.7,0,1
662,5228.1,46,4.962,2,999,-42.7,0,0
187,5228.1,29,4.96,3,999,-41.8,0,0
82,5228.1,35,4.962,4,999,-36.1,0,0
606,5099.1,48,1.334,3,999,-46.2,1,0
76,5017.5,31,0.73,1,999,-26.9,0,0
18,5099.1,33,1.266,6,999,-46.2,0,0
317,5076.2,63,1.072,1,999,-33.6,0,0
67,5195.8,38,4.1530000000000005,2,999,-42.0,0,1
492,5017.5,34,0.716,2,6,-30.1,0,1
212,5228.1,34,4.962,4,999,-42.7,0,1
267,5008.7,47,0.682,2,3,-40.0,1,0
185,5191.0,27,4.857,1,999,-36.4,1,0
744,4991.6,24,0.905,1,999,-38.3,0,0
499,5099.1,36,1.281,3,999,-46.2,1,0
123,5228.1,29,4.958,2,999,-41.8,0,1
198,5228.1,58,4.865,1,999,-41.8,0,0
156,5228.1,40,4.968,1,999,-36.1,0,0
98,5228.1,31,4.962,8,999,-36.1,0,0
332,5228.1,60,4.963,3,999,-36.1,0,0
35,5228.1,58,4.961,1,999,-42.7,0,0
124,5228.1,32,4.961,2,999,-42.7,0,0
213,5228.1,54,4.961,4,999,-41.8,0,0
145,5228.1,43,4.965,2,999,-36.1,0,0
145,5228.1,48,4.864,8,999,-41.8,1,0
195,5195.8,33,4.0760000000000005,1,999,-42.0,0,0
179,5228.1,37,4.96,2,999,-42.7,0,0
184,5191.0,35,4.857,2,999,-36.4,1,0
285,5191.0,34,4.86,1,999,-36.4,0,1
31,5228.1,30,4.962,17,999,-36.1,0,0
306,5228.1,38,4.961,1,999,-41.8,0,0
14,5099.1,29,1.3130000000000002,5,999,-46.2,0,0
334,5099.1,49,1.405,1,999,-47.1,0,0
117,5076.2,48,0.8690000000000001,1,999,-31.4,0,0
155,5228.1,33,4.963,2,999,-42.7,1,1
117,5099.1,33,1.415,1,999,-47.1,1,0
206,5191.0,42,4.857,1,999,-36.4,0,0
102,5228.1,39,4.864,1,999,-41.8,0,0
157,5195.8,55,4.1530000000000005,2,999,-42.0,0,0
311,5191.0,46,4.86,3,999,-36.4,0,0
115,5228.1,55,4.864,3,999,-41.8,0,0
58,5195.8,42,4.021,1,999,-42.0,0,0
290,5099.1,24,1.281,1,999,-46.2,1,1
114,5228.1,49,4.963,1,999,-36.1,0,0
311,5228.1,38,4.963,3,999,-42.7,1,0
146,5228.1,34,4.968,1,999,-36.1,0,0
111,5228.1,46,4.957,1,999,-42.7,0,0
360,5228.1,45,4.963,5,999,-36.1,0,0
106,5228.1,40,4.968,4,999,-42.7,0,0
423,5191.0,46,4.856,1,999,-36.4,1,0
350,5228.1,31,4.962,7,999,-41.8,1,0
122,5191.0,57,4.857,1,999,-36.4,0,0
91,5099.1,36,1.2990000000000002,3,999,-46.2,0,0
319,5195.8,50,4.1530000000000005,2,999,-42.0,0,0
120,5099.1,32,1.415,1,999,-47.1,1,1
82,5076.2,38,0.914,2,999,-33.6,0,0
801,5008.7,50,0.682,1,999,-40.0,1,0
168,5228.1,42,4.8660000000000005,2,999,-41.8,0,0
409,5228.1,31,4.965,2,999,-36.1,1,0
120,5228.1,27,4.961,1,999,-42.7,0,0
123,5228.1,44,4.865,1,999,-41.8,0,1
127,5228.1,26,4.963,1,999,-42.7,0,1
340,5099.1,30,1.327,1,999,-46.2,0,1
169,5195.8,39,4.021,1,999,-42.0,0,1
252,5076.2,64,0.8490000000000001,4,999,-31.4,0,0
331,4963.6,36,0.8759999999999999,1,6,-37.5,1,0
191,5191.0,42,4.856,4,999,-36.4,1,0
122,5099.1,42,1.327,2,999,-46.2,0,1
1776,5228.1,40,4.963,3,999,-42.7,1,1
362,5099.1,34,1.334,2,999,-46.2,1,1
237,5191.0,31,4.86,2,999,-36.4,0,0
201,5191.0,49,4.857,3,999,-36.4,0,0
169,5228.1,35,4.958,7,999,-42.7,0,0
213,5191.0,60,4.857,2,999,-36.4,0,0
271,5195.8,38,4.021,1,999,-42.0,0,0
125,5099.1,32,1.266,1,999,-46.2,0,0
673,5099.1,50,1.354,6,3,-46.2,0,0
961,5008.7,41,0.644,6,999,-34.6,0,0
215,5191.0,45,4.857,2,999,-36.4,1,1
179,5228.1,46,4.864,2,999,-41.8,0,0
336,5191.0,55,4.857,1,999,-36.4,0,0
44,5191.0,33,4.855,1,999,-36.4,0,0
223,5191.0,45,4.857,1,999,-36.4,0,0
66,5099.1,29,1.281,1,999,-46.2,1,1
252,5228.1,42,4.957,2,999,-42.7,1,1
167,5191.0,39,4.857,2,999,-36.4,0,0
180,5228.1,58,4.962,4,999,-42.7,0,0
123,5228.1,32,4.961,4,999,-42.7,0,0
18,5099.1,44,1.41,3,999,-47.1,0,0
374,5191.0,49,4.859,2,999,-36.4,0,0
108,5099.1,29,1.266,4,999,-46.2,0,0
16,5228.1,51,4.962,17,999,-41.8,1,0
45,5228.1,36,4.962,8,999,-36.1,0,0
122,5099.1,23,1.392,1,999,-47.1,0,0
72,5228.1,31,4.965,1,999,-36.1,0,0
107,5228.1,32,4.963,2,999,-42.7,0,0
197,5228.1,58,4.961,1,999,-41.8,0,0
21,5228.1,31,4.963,20,999,-42.7,1,1
160,5099.1,32,1.25,2,999,-46.2,0,0
319,5076.2,43,0.873,4,3,-31.4,0,1
427,5191.0,48,4.859,3,999,-36.4,0,0
270,5228.1,28,4.963,2,999,-42.7,0,1
7,5228.1,52,4.959,2,999,-41.8,0,0
22,5228.1,36,4.8660000000000005,1,999,-41.8,0,0
433,5099.1,39,1.41,2,999,-47.1,0,1
49,5228.1,39,4.961,5,999,-42.7,0,0
258,5017.5,50,0.754,1,999,-26.9,0,0
190,5195.8,29,4.021,1,999,-42.0,0,0
130,5099.1,49,1.291,3,999,-46.2,0,0
130,5195.8,36,4.12,1,999,-42.0,1,0
182,5099.1,29,1.266,6,999,-46.2,0,0
259,5228.1,27,4.961,3,999,-41.8,0,0
124,5228.1,31,4.962,1,999,-42.7,1,0
40,5195.8,43,4.021,1,999,-42.0,0,1
366,5195.8,32,4.0760000000000005,4,999,-42.0,0,0
399,5228.1,45,4.965,2,999,-36.1,1,1
133,5228.1,56,4.959,2,999,-41.8,1,0
23,5191.0,38,4.8580000000000005,16,999,-36.4,1,1
170,5191.0,35,4.855,1,999,-36.4,0,0
83,5076.2,30,0.8809999999999999,1,999,-31.4,0,0
79,5099.1,46,1.405,1,999,-47.1,0,0
93,5099.1,43,1.327,4,999,-46.2,0,0
257,5191.0,38,4.855,2,999,-36.4,0,0
188,5195.8,52,4.0760000000000005,2,999,-42.0,0,0
131,4963.6,30,0.942,2,16,-49.5,0,0
111,5195.8,31,4.1530000000000005,2,999,-42.0,0,1
73,5099.1,31,1.25,1,999,-46.2,0,0
175,5099.1,24,1.266,1,999,-46.2,0,0
439,5228.1,34,4.961,2,999,-42.7,0,0
262,5228.1,48,4.968,1,999,-36.1,0,0
136,5228.1,30,4.963,1,999,-36.1,0,0
150,5228.1,23,4.962,4,999,-42.7,0,1
598,5191.0,20,4.855,3,999,-36.4,0,1
96,5228.1,43,4.96,3,999,-42.7,0,1
298,5099.1,26,1.2990000000000002,2,999,-46.2,0,1
170,5228.1,58,4.96,6,999,-41.8,0,0
104,5099.1,26,1.291,5,999,-46.2,0,0
213,5191.0,35,4.859,14,999,-36.4,0,1
356,5228.1,35,4.962,3,999,-42.7,0,1
206,5076.2,59,0.883,1,999,-31.4,0,0
102,5191.0,54,4.857,1,999,-36.4,0,0
346,5228.1,37,4.968,2,999,-42.7,0,0
53,5228.1,46,4.962,2,999,-41.8,1,0
81,5228.1,52,4.962,6,999,-42.7,0,1
67,5195.8,52,4.1530000000000005,1,999,-42.0,0,0
209,5099.1,32,1.3130000000000002,1,999,-46.2,0,0
202,5191.0,33,4.857,4,999,-36.4,0,0
247,5099.1,33,1.291,1,999,-46.2,0,1
230,5191.0,42,4.857,2,999,-36.4,0,0
451,5191.0,38,4.86,2,999,-36.4,0,0
190,5191.0,43,4.857,1,999,-36.4,0,1
24,5191.0,49,4.857,1,999,-36.4,0,0
107,5099.1,30,1.281,3,999,-46.2,1,0
54,5099.1,37,1.405,2,999,-47.1,0,0
86,5228.1,47,4.962,2,999,-42.7,0,0
111,5017.5,32,0.716,8,999,-30.1,0,0
47,5228.1,32,4.963,2,999,-42.7,0,0
215,5099.1,35,1.2990000000000002,1,999,-46.2,0,0
423,5099.1,36,1.25,1,999,-46.2,0,0
233,5099.1,41,1.334,2,999,-46.2,1,0
67,5228.1,48,4.964,2,999,-36.1,0,0
1389,5228.1,43,4.957,7,999,-42.7,1,1
50,5191.0,57,4.864,2,999,-36.4,0,0
774,5099.1,28,1.405,2,999,-47.1,0,0
454,5228.1,30,4.968,18,999,-42.7,0,1
64,5099.1,27,1.354,2,999,-46.2,0,1
212,5191.0,44,4.856,1,999,-36.4,0,0
110,5228.1,43,4.8660000000000005,17,999,-41.8,0,0
23,5099.1,28,1.281,1,999,-46.2,1,0
169,5099.1,34,1.344,1,999,-46.2,0,0
251,5228.1,32,4.966,2,999,-42.7,0,1
353,5228.1,30,4.964,10,999,-36.1,0,0
508,5228.1,45,4.957,1,999,-42.7,0,0
410,5191.0,49,4.857,1,999,-36.4,1,0
89,5191.0,45,4.855,5,999,-36.4,0,1
52,5191.0,56,4.857,2,999,-36.4,1,0
118,4991.6,48,0.9,1,0,-38.3,1,0
154,5195.8,42,4.1530000000000005,2,999,-42.0,0,1
409,5228.1,51,4.865,2,999,-41.8,0,0
258,5076.2,54,1.268,2,999,-40.8,0,0
335,5228.1,40,4.964,2,999,-36.1,1,0
54,5191.0,47,4.86,1,999,-36.4,0,0
896,5228.1,29,4.964,6,999,-36.1,1,0
412,5076.2,37,1.266,2,999,-40.8,0,0
24,5191.0,35,4.8580000000000005,1,999,-36.4,1,0
149,5195.8,54,4.1530000000000005,2,999,-42.0,0,0
254,5008.7,45,0.6920000000000001,1,999,-40.0,0,0
564,5228.1,35,4.963,2,999,-42.7,0,0
185,5099.1,37,1.244,1,999,-46.2,0,0
1000,5191.0,38,4.856,1,999,-36.4,0,0
88,5191.0,33,4.857,2,999,-36.4,0,0
166,5228.1,31,4.8660000000000005,2,999,-41.8,0,0
134,5191.0,34,4.855,1,999,-36.4,0,0
131,5099.1,51,1.291,2,999,-46.2,0,1
118,5099.1,38,1.334,1,999,-46.2,1,1
81,5228.1,25,4.968,3,999,-42.7,0,0
75,5228.1,35,4.964,6,999,-36.1,1,0
123,5099.1,55,1.264,2,999,-46.2,0,0
313,5191.0,37,4.857,1,999,-36.4,0,1
124,5228.1,31,4.964,3,999,-36.1,0,1
262,5191.0,36,4.86,4,999,-36.4,0,1
571,5191.0,59,4.857,1,999,-36.4,1,0
131,5017.5,37,0.73,1,999,-26.9,0,0
88,5023.5,74,0.715,6,999,-33.0,0,1
388,5191.0,44,4.857,2,999,-36.4,0,0
157,5228.1,29,4.965,3,999,-36.1,0,0
111,5195.8,32,4.191,1,999,-42.0,0,0
325,5099.1,45,1.405,1,999,-47.1,0,0
112,5228.1,49,4.864,4,999,-41.8,1,0
662,5228.1,25,4.957,4,999,-42.7,0,0
246,5228.1,34,4.96,2,999,-42.7,0,0
115,5228.1,37,4.963,1,999,-36.1,0,0
159,5228.1,48,4.963,2,999,-36.1,0,0
575,5228.1,52,4.963,2,999,-36.1,0,1
216,5228.1,30,4.966,3,999,-36.1,0,0
342,5228.1,57,4.965,4,999,-36.1,0,0
117,5195.8,38,4.191,2,999,-42.0,0,0
145,5195.8,31,4.12,1,999,-42.0,1,1
168,5228.1,40,4.961,2,999,-41.8,0,0
506,5191.0,38,4.857,1,999,-36.4,0,1
261,5191.0,33,4.855,1,999,-36.4,0,0
387,4963.6,28,0.882,2,6,-37.5,0,0
417,5228.1,33,4.965,2,999,-36.1,0,0
81,5228.1,58,4.961,1,999,-42.7,0,0
98,5099.1,30,1.291,5,999,-46.2,0,0
160,5099.1,42,1.25,1,999,-46.2,0,0
363,4963.6,35,1.035,1,999,-50.8,0,0
440,5228.1,41,4.957,4,999,-42.7,0,1
906,5195.8,31,4.021,1,999,-42.0,0,0
167,5191.0,40,4.856,1,999,-36.4,0,1
242,5017.5,80,0.742,1,999,-26.9,0,0
439,5099.1,47,1.365,2,999,-47.1,0,1
76,5228.1,39,4.957,4,999,-42.7,0,0
65,5228.1,30,4.964,2,999,-36.1,0,0
233,5191.0,33,4.856,1,999,-36.4,1,1
136,5191.0,50,4.859,1,999,-36.4,0,0
656,5099.1,33,1.3130000000000002,1,999,-46.2,0,0
323,5228.1,40,4.962,1,999,-42.7,1,0
1689,5228.1,40,4.963,2,999,-42.7,0,0
185,5228.1,30,4.967,1,999,-41.8,0,0
134,5228.1,23,4.958,1,999,-42.7,0,0
182,5099.1,28,1.3130000000000002,2,999,-46.2,0,0
1135,5099.1,41,1.327,3,999,-46.2,0,0
449,5076.2,26,0.879,1,999,-31.4,1,0
216,5228.1,45,4.965,1,999,-36.1,0,0
324,4963.6,28,1.032,1,6,-49.5,0,0
198,5228.1,32,4.966,1,999,-36.1,0,0
157,5228.1,32,4.963,1,999,-36.1,0,0
311,5228.1,56,4.961,1,999,-41.8,0,0
575,5195.8,45,4.12,9,999,-42.0,1,0
11,5228.1,29,4.962,19,999,-41.8,1,0
182,5099.1,33,1.244,1,999,-46.2,0,0
94,5228.1,37,4.959,7,999,-41.8,0,0
272,5017.5,51,0.7190000000000001,1,999,-30.1,1,0
31,5228.1,32,4.864,5,999,-41.8,0,0
245,5099.1,36,1.291,1,999,-46.2,0,0
179,5228.1,36,4.8660000000000005,1,999,-41.8,0,0
805,5228.1,32,4.8660000000000005,2,999,-41.8,0,0
147,5228.1,51,4.865,1,999,-41.8,0,0
71,5228.1,25,4.961,1,999,-41.8,0,0
120,4963.6,39,0.8809999999999999,3,999,-37.5,0,0
263,5099.1,33,1.327,1,999,-46.2,0,0
81,5228.1,32,4.968,2,999,-42.7,0,0
180,5191.0,35,4.8580000000000005,1,999,-36.4,1,0
73,5195.8,41,5.0,1,999,-40.4,0,0
202,5191.0,44,4.856,1,999,-36.4,1,0
163,5099.1,34,1.405,1,999,-47.1,0,0
386,5191.0,27,4.857,1,999,-36.4,1,1
139,5228.1,51,4.962,1,999,-42.7,1,0
42,5191.0,42,4.857,4,999,-36.4,0,0
108,5017.5,61,0.7240000000000001,1,999,-26.9,1,1
315,4963.6,48,0.879,2,999,-37.5,0,0
159,5195.8,54,4.12,2,4,-42.0,1,0
19,5191.0,35,4.8580000000000005,1,999,-36.4,0,1
348,5228.1,48,4.965,2,999,-36.1,0,0
194,5228.1,23,4.966,2,999,-42.7,0,0
1183,5191.0,33,4.857,1,999,-36.4,1,0
160,5228.1,30,4.97,1,999,-36.1,0,0
338,5099.1,25,1.266,3,999,-46.2,0,1
374,5191.0,44,4.8580000000000005,6,999,-36.4,0,0
357,5228.1,29,4.957,7,999,-42.7,1,0
106,5228.1,55,4.965,4,999,-36.1,0,1
270,5228.1,24,4.959,1,999,-42.7,0,0
183,5099.1,61,1.405,5,999,-47.1,1,0
36,5099.1,50,1.291,3,999,-46.2,0,0
270,5099.1,37,1.365,2,999,-47.1,0,0
110,5228.1,33,4.964,1,999,-36.1,0,0
195,5008.7,48,0.6459999999999999,2,999,-34.8,0,0
27,5228.1,57,4.966,6,999,-36.1,0,0
63,5076.2,33,1.26,1,999,-40.8,1,0
1449,5228.1,40,4.864,6,999,-41.8,1,1
58,5228.1,30,4.963,1,999,-36.1,0,0
201,5017.5,34,0.74,1,5,-26.9,1,0
106,5191.0,54,4.857,3,999,-36.4,0,0
170,5099.1,31,1.479,1,999,-47.1,0,0
935,5228.1,31,4.968,1,999,-36.1,0,0
67,5099.1,53,1.344,4,999,-46.2,0,0
670,5099.1,43,1.405,4,11,-47.1,0,0
620,5099.1,36,1.344,1,999,-46.2,0,0
507,5228.1,47,4.962,4,999,-36.1,0,0
204,4991.6,30,0.87,4,999,-40.3,0,0
60,5195.8,31,4.191,1,999,-42.0,0,0
348,5099.1,37,1.344,1,999,-46.2,0,0
1508,5228.1,27,4.961,1,999,-42.7,0,0
354,5228.1,46,4.967,2,999,-41.8,0,1
66,5099.1,41,1.281,1,999,-46.2,1,0
109,5228.1,44,4.959,4,999,-41.8,0,0
171,5099.1,33,1.327,2,999,-46.2,0,0
186,5076.2,58,0.8690000000000001,1,999,-31.4,0,0
213,5195.8,34,4.12,5,999,-42.0,1,0
474,5191.0,60,4.856,2,999,-36.4,0,1
441,5195.8,29,4.12,1,999,-42.0,1,0
463,5228.1,26,4.8660000000000005,1,999,-41.8,0,1
17,5191.0,31,4.856,2,999,-36.4,1,1
86,5195.8,36,4.12,3,999,-42.0,1,0
202,5228.1,59,4.963,2,999,-42.7,0,0
216,5099.1,61,1.423,1,999,-47.1,0,0
142,5228.1,30,4.963,1,999,-36.1,0,1
140,5191.0,40,4.857,1,999,-36.4,0,0
700,5191.0,48,4.857,1,999,-36.4,0,1
293,5228.1,47,4.961,1,999,-42.7,0,1
402,5228.1,32,4.968,1,999,-36.1,0,0
126,5228.1,31,4.966,1,999,-36.1,0,0
112,5099.1,33,1.291,4,999,-46.2,0,0
263,5099.1,30,1.344,2,999,-46.2,0,1
44,5099.1,49,1.41,1,999,-47.1,0,0
61,5195.8,53,4.021,4,999,-42.0,0,0
176,5099.1,33,1.3130000000000002,1,999,-46.2,0,1
6,5099.1,46,1.25,1,999,-46.2,0,1
695,5191.0,45,4.86,1,999,-36.4,0,1
188,5191.0,31,4.857,7,999,-36.4,0,0
77,5099.1,28,1.334,3,999,-46.2,1,0
736,5195.8,29,4.0760000000000005,1,999,-42.0,0,0
56,5228.1,26,4.961,3,999,-42.7,0,0
184,5099.1,20,1.4980000000000002,4,999,-47.1,1,0
77,5099.1,42,1.281,2,999,-46.2,1,1
415,5195.8,31,4.0760000000000005,1,999,-42.0,0,0
41,5228.1,56,4.961,1,999,-42.7,0,0
306,5228.1,43,4.964,5,999,-36.1,0,0
292,5228.1,44,4.962,1,999,-42.7,0,1
362,5228.1,30,4.957,2,999,-42.7,0,1
123,5017.5,31,0.8029999999999999,3,999,-29.8,0,0
107,5195.8,53,4.191,1,999,-42.0,0,0
855,5191.0,50,4.86,4,999,-36.4,0,0
34,5099.1,37,1.25,1,999,-46.2,0,0
512,5191.0,43,4.859,6,999,-36.4,0,0
973,5228.1,45,4.959,2,999,-41.8,0,0
238,5076.2,29,1.26,3,999,-40.8,1,0
429,5191.0,53,4.859,1,999,-36.4,1,1
82,5099.1,34,1.365,6,999,-47.1,0,0
257,5017.5,72,0.7140000000000001,1,999,-30.1,0,1
229,5099.1,25,1.406,2,999,-47.1,0,0
47,5228.1,46,4.959,4,999,-41.8,0,1
9,5228.1,39,4.968,6,999,-42.7,0,1
283,5195.8,57,4.021,1,999,-42.0,0,0
233,5228.1,24,4.961,1,999,-41.8,0,0
5,4991.6,40,0.7020000000000001,1,999,-39.8,0,0
349,5191.0,45,4.856,2,999,-36.4,1,1
130,5191.0,33,4.857,3,999,-36.4,0,0
157,5228.1,34,4.96,29,999,-41.8,0,0
452,4991.6,24,0.8270000000000001,1,14,-40.3,0,1
415,5023.5,55,0.71,7,999,-33.0,0,0
34,5228.1,54,4.955,1,999,-42.7,0,0
182,5228.1,32,4.964,1,999,-36.1,0,0
219,5008.7,27,0.653,1,999,-34.8,0,1
265,5099.1,45,1.327,3,999,-46.2,0,0
678,5228.1,47,4.96,1,999,-42.7,0,0
189,5191.0,29,4.856,2,999,-36.4,0,1
115,5228.1,42,4.957,1,999,-42.7,0,0
319,5099.1,28,1.365,3,999,-47.1,0,1
367,5099.1,27,1.266,2,999,-46.2,0,0
197,5099.1,45,1.244,2,999,-46.2,0,0
167,5195.8,45,4.1530000000000005,5,999,-42.0,0,0
125,5191.0,33,4.857,2,999,-36.4,0,0
71,5228.1,36,4.961,2,999,-42.7,0,0
106,5228.1,34,4.959,2,999,-42.7,0,1
360,5228.1,30,4.964,1,999,-36.1,0,0
273,5228.1,33,4.963,2,999,-42.7,1,0
36,5228.1,56,4.962,4,999,-41.8,1,0
326,5228.1,58,4.947,1,999,-41.8,0,0
157,5195.8,52,4.021,2,999,-42.0,0,1
479,5228.1,52,4.963,2,999,-42.7,0,0
103,5228.1,36,4.963,1,999,-42.7,1,0
118,5195.8,36,4.12,1,999,-42.0,1,0
144,5228.1,53,4.97,1,999,-36.1,0,0
197,5228.1,52,4.963,2,999,-36.1,0,0
69,5191.0,47,4.86,1,999,-36.4,0,0
596,5191.0,37,4.857,1,999,-36.4,0,0
113,5191.0,25,4.86,1,999,-36.4,0,0
59,5228.1,32,4.961,1,999,-42.7,0,0
101,5099.1,34,1.25,4,999,-46.2,0,0
337,5228.1,39,4.8660000000000005,2,999,-41.8,0,1
285,5195.8,52,4.1530000000000005,2,999,-42.0,0,0
1082,5228.1,48,4.961,1,999,-41.8,0,0
44,5228.1,48,4.963,7,999,-42.7,1,0
165,5191.0,50,4.859,1,999,-36.4,0,0
89,5228.1,55,4.962,4,999,-41.8,1,0
154,5195.8,38,4.1530000000000005,1,999,-42.0,0,0
91,5228.1,46,4.962,11,999,-36.1,0,1
206,5099.1,31,1.2990000000000002,1,999,-46.2,0,1
102,5228.1,27,4.963,9,999,-42.7,0,0
166,5099.1,50,1.344,2,999,-46.2,0,0
306,5191.0,52,4.859,1,999,-36.4,0,0
398,5191.0,44,4.857,7,999,-36.4,0,0
577,4991.6,35,0.835,6,6,-40.3,0,0
353,5191.0,47,4.857,1,999,-36.4,0,0
152,5228.1,32,4.963,6,999,-42.7,0,0
437,5099.1,34,1.2990000000000002,2,999,-46.2,0,0
172,5099.1,40,1.281,1,999,-46.2,1,1
166,5191.0,56,4.855,1,999,-36.4,0,0
321,5228.1,48,4.968,3,999,-36.1,0,0
163,5228.1,42,4.962,2,999,-42.7,0,0
309,5195.8,48,4.191,1,999,-42.0,0,1
244,5228.1,39,4.968,1,999,-42.7,0,1
132,5195.8,46,4.191,1,999,-42.0,0,0
420,5191.0,41,4.856,1,999,-36.4,0,0
252,5228.1,56,4.865,4,999,-41.8,0,0
